.scenario.id,.at,edp.start.scenario,prep.start.prob_1,prep.start.prob_2,prep.start.prob_3,edp.prep.start.prob_1,edp.prep.start.prob_2,edp.prep.start.prob_3,prep.switch.prob,edp.switch.prob
baseline,1,1,0.000827328,0.000636321,0.000995523,0,0,0,0,0
scenario_1,1,1,0.000413664,0.000318161,0.000497762,0.000413664,0.000318161,0.000497762,0.25,0.25
scenario_2,1,2,0.000413664,0.000318161,0.000497762,0.000413664,0.000318161,0.000497762,0.25,0.25
scenario_3,1,3,0.000413664,0.000318161,0.000497762,0.000413664,0.000318161,0.000497762,0.25,0.25
scenario_4,1,4,0.000413664,0.000318161,0.000497762,0.000413664,0.000318161,0.000497762,0.25,0.25
scenario_0p,1,1,0,0,0,0.000827328,0.000636321,0.000995523,0.25,0.25
scenario_10p,1,1,8.27328E-05,6.36321E-05,9.95523E-05,0.000744595,0.000572689,0.000895971,0.25,0.25
scenario_20p,1,1,0.000165466,0.000127264,0.000199105,0.000661862,0.000509057,0.000796418,0.25,0.25
scenario_30p,1,1,0.000248198,0.000190896,0.000298657,0.00057913,0.000445425,0.000696866,0.25,0.25
scenario_40p,1,1,0.000330931,0.000254528,0.000398209,0.000496397,0.000381793,0.000597314,0.25,0.25
scenario_60p,1,1,0.000496397,0.000381793,0.000597314,0.000330931,0.000254528,0.000398209,0.25,0.25
scenario_70p,1,1,0.00057913,0.000445425,0.000696866,0.000248198,0.000190896,0.000298657,0.25,0.25
scenario_80p,1,1,0.000661862,0.000509057,0.000796418,0.000165466,0.000127264,0.000199105,0.25,0.25
scenario_90p,1,1,0.000744595,0.000572689,0.000895971,8.27328E-05,6.36321E-05,9.95523E-05,0.25,0.25
